Consumer Price Index item,Month of forecast,Year of forecast,Year being forecast,Attribute,Forecast percent change
Processed fruits & vegetables,11,2008,2009,Lower bound of forecast range,3
Processed fruits & vegetables,11,2008,2009,Upper bound of forecast range,4
Processed fruits & vegetables,12,2008,2009,Lower bound of forecast range,3
Processed fruits & vegetables,12,2008,2009,Upper bound of forecast range,4
Processed fruits & vegetables,1,2009,2009,Lower bound of forecast range,3
Processed fruits & vegetables,1,2009,2009,Upper bound of forecast range,4
Processed fruits & vegetables,2,2009,2009,Lower bound of forecast range,3
Processed fruits & vegetables,2,2009,2009,Upper bound of forecast range,4
Processed fruits & vegetables,3,2009,2009,Lower bound of forecast range,3
Processed fruits & vegetables,3,2009,2009,Upper bound of forecast range,4
Processed fruits & vegetables,4,2009,2009,Lower bound of forecast range,3
Processed fruits & vegetables,4,2009,2009,Upper bound of forecast range,4
Processed fruits & vegetables,5,2009,2009,Lower bound of forecast range,3
Processed fruits & vegetables,5,2009,2009,Upper bound of forecast range,4
Processed fruits & vegetables,6,2009,2009,Lower bound of forecast range,4
Processed fruits & vegetables,6,2009,2009,Upper bound of forecast range,5
Processed fruits & vegetables,7,2009,2009,Lower bound of forecast range,4
Processed fruits & vegetables,7,2009,2009,Upper bound of forecast range,5
Processed fruits & vegetables,8,2009,2009,Lower bound of forecast range,6
Processed fruits & vegetables,8,2009,2009,Upper bound of forecast range,7
Processed fruits & vegetables,9,2009,2009,Lower bound of forecast range,6
Processed fruits & vegetables,9,2009,2009,Upper bound of forecast range,7
Processed fruits & vegetables,10,2009,2009,Lower bound of forecast range,6
Processed fruits & vegetables,10,2009,2009,Upper bound of forecast range,7
Processed fruits & vegetables,11,2009,2009,Lower bound of forecast range,6
Processed fruits & vegetables,11,2009,2009,Upper bound of forecast range,7
Processed fruits & vegetables,12,2009,2009,Lower bound of forecast range,6
Processed fruits & vegetables,12,2009,2009,Upper bound of forecast range,7
Sugar and sweets,7,2008,2009,Lower bound of forecast range,3
Sugar and sweets,7,2008,2009,Upper bound of forecast range,4
Sugar and sweets,8,2008,2009,Lower bound of forecast range,3
Sugar and sweets,8,2008,2009,Upper bound of forecast range,4
Sugar and sweets,9,2008,2009,Lower bound of forecast range,3
Sugar and sweets,9,2008,2009,Upper bound of forecast range,4
Sugar and sweets,10,2008,2009,Lower bound of forecast range,3
Sugar and sweets,10,2008,2009,Upper bound of forecast range,4
Sugar and sweets,11,2008,2009,Lower bound of forecast range,3
Sugar and sweets,11,2008,2009,Upper bound of forecast range,4
Sugar and sweets,12,2008,2009,Lower bound of forecast range,3
Sugar and sweets,12,2008,2009,Upper bound of forecast range,4
Sugar and sweets,1,2009,2009,Lower bound of forecast range,3
Sugar and sweets,1,2009,2009,Upper bound of forecast range,4
Sugar and sweets,2,2009,2009,Lower bound of forecast range,3
Sugar and sweets,2,2009,2009,Upper bound of forecast range,4
Sugar and sweets,3,2009,2009,Lower bound of forecast range,3
Sugar and sweets,3,2009,2009,Upper bound of forecast range,4
Sugar and sweets,4,2009,2009,Lower bound of forecast range,3
Sugar and sweets,4,2009,2009,Upper bound of forecast range,4
Sugar and sweets,5,2009,2009,Lower bound of forecast range,3
Sugar and sweets,5,2009,2009,Upper bound of forecast range,4
Sugar and sweets,6,2009,2009,Lower bound of forecast range,3
Sugar and sweets,6,2009,2009,Upper bound of forecast range,4
Sugar and sweets,7,2009,2009,Lower bound of forecast range,3
Sugar and sweets,7,2009,2009,Upper bound of forecast range,4
Sugar and sweets,8,2009,2009,Lower bound of forecast range,5
Sugar and sweets,8,2009,2009,Upper bound of forecast range,6
Sugar and sweets,9,2009,2009,Lower bound of forecast range,5
Sugar and sweets,9,2009,2009,Upper bound of forecast range,6
Sugar and sweets,10,2009,2009,Lower bound of forecast range,5
Sugar and sweets,10,2009,2009,Upper bound of forecast range,6
Sugar and sweets,11,2009,2009,Lower bound of forecast range,5
Sugar and sweets,11,2009,2009,Upper bound of forecast range,6
Sugar and sweets,12,2009,2009,Lower bound of forecast range,5
Sugar and sweets,12,2009,2009,Upper bound of forecast range,6
Cereals and bakery products,7,2008,2009,Lower bound of forecast range,3.5
Cereals and bakery products,7,2008,2009,Upper bound of forecast range,4.5
Cereals and bakery products,8,2008,2009,Lower bound of forecast range,3.5
Cereals and bakery products,8,2008,2009,Upper bound of forecast range,4.5
Cereals and bakery products,9,2008,2009,Lower bound of forecast range,3.5
Cereals and bakery products,9,2008,2009,Upper bound of forecast range,4.5
Cereals and bakery products,10,2008,2009,Lower bound of forecast range,3.5
Cereals and bakery products,10,2008,2009,Upper bound of forecast range,4.5
Cereals and bakery products,11,2008,2009,Lower bound of forecast range,2.5
Cereals and bakery products,11,2008,2009,Upper bound of forecast range,3.5
Cereals and bakery products,12,2008,2009,Lower bound of forecast range,2.5
Cereals and bakery products,12,2008,2009,Upper bound of forecast range,3.5
Cereals and bakery products,1,2009,2009,Lower bound of forecast range,2.5
Cereals and bakery products,1,2009,2009,Upper bound of forecast range,3.5
Cereals and bakery products,2,2009,2009,Lower bound of forecast range,2.5
Cereals and bakery products,2,2009,2009,Upper bound of forecast range,3.5
Cereals and bakery products,3,2009,2009,Lower bound of forecast range,2.5
Cereals and bakery products,3,2009,2009,Upper bound of forecast range,3.5
Cereals and bakery products,4,2009,2009,Lower bound of forecast range,2.5
Cereals and bakery products,4,2009,2009,Upper bound of forecast range,3.5
Cereals and bakery products,5,2009,2009,Lower bound of forecast range,2.5
Cereals and bakery products,5,2009,2009,Upper bound of forecast range,3.5
Cereals and bakery products,6,2009,2009,Lower bound of forecast range,2.5
Cereals and bakery products,6,2009,2009,Upper bound of forecast range,3.5
Cereals and bakery products,7,2009,2009,Lower bound of forecast range,3
Cereals and bakery products,7,2009,2009,Upper bound of forecast range,4
Cereals and bakery products,8,2009,2009,Lower bound of forecast range,3
Cereals and bakery products,8,2009,2009,Upper bound of forecast range,4
Cereals and bakery products,9,2009,2009,Lower bound of forecast range,3
Cereals and bakery products,9,2009,2009,Upper bound of forecast range,4
Cereals and bakery products,10,2009,2009,Lower bound of forecast range,3
Cereals and bakery products,10,2009,2009,Upper bound of forecast range,4
Cereals and bakery products,11,2009,2009,Lower bound of forecast range,3
Cereals and bakery products,11,2009,2009,Upper bound of forecast range,4
Cereals and bakery products,12,2009,2009,Lower bound of forecast range,3
Cereals and bakery products,12,2009,2009,Upper bound of forecast range,4
Nonalcoholic beverages,7,2008,2009,Lower bound of forecast range,3
Nonalcoholic beverages,7,2008,2009,Upper bound of forecast range,4
Nonalcoholic beverages,8,2008,2009,Lower bound of forecast range,3
Nonalcoholic beverages,8,2008,2009,Upper bound of forecast range,4
Nonalcoholic beverages,9,2008,2009,Lower bound of forecast range,3
Nonalcoholic beverages,9,2008,2009,Upper bound of forecast range,4
Nonalcoholic beverages,10,2008,2009,Lower bound of forecast range,3
Nonalcoholic beverages,10,2008,2009,Upper bound of forecast range,4
Nonalcoholic beverages,11,2008,2009,Lower bound of forecast range,3
Nonalcoholic beverages,11,2008,2009,Upper bound of forecast range,4
Nonalcoholic beverages,12,2008,2009,Lower bound of forecast range,3
Nonalcoholic beverages,12,2008,2009,Upper bound of forecast range,4
Nonalcoholic beverages,1,2009,2009,Lower bound of forecast range,3
Nonalcoholic beverages,1,2009,2009,Upper bound of forecast range,4
Nonalcoholic beverages,2,2009,2009,Lower bound of forecast range,3
Nonalcoholic beverages,2,2009,2009,Upper bound of forecast range,4
Nonalcoholic beverages,3,2009,2009,Lower bound of forecast range,3
Nonalcoholic beverages,3,2009,2009,Upper bound of forecast range,4
Nonalcoholic beverages,4,2009,2009,Lower bound of forecast range,3
Nonalcoholic beverages,4,2009,2009,Upper bound of forecast range,4
Nonalcoholic beverages,5,2009,2009,Lower bound of forecast range,3
Nonalcoholic beverages,5,2009,2009,Upper bound of forecast range,4
Nonalcoholic beverages,6,2009,2009,Lower bound of forecast range,3
Nonalcoholic beverages,6,2009,2009,Upper bound of forecast range,4
Nonalcoholic beverages,7,2009,2009,Lower bound of forecast range,3
Nonalcoholic beverages,7,2009,2009,Upper bound of forecast range,4
Nonalcoholic beverages,8,2009,2009,Lower bound of forecast range,2.5
Nonalcoholic beverages,8,2009,2009,Upper bound of forecast range,3.5
Nonalcoholic beverages,9,2009,2009,Lower bound of forecast range,2.5
Nonalcoholic beverages,9,2009,2009,Upper bound of forecast range,3.5
Nonalcoholic beverages,10,2009,2009,Lower bound of forecast range,2.5
Nonalcoholic beverages,10,2009,2009,Upper bound of forecast range,3.5
Nonalcoholic beverages,11,2009,2009,Lower bound of forecast range,2
Nonalcoholic beverages,11,2009,2009,Upper bound of forecast range,3
Nonalcoholic beverages,12,2009,2009,Lower bound of forecast range,2
Nonalcoholic beverages,12,2009,2009,Upper bound of forecast range,3
Other foods,7,2008,2009,Lower bound of forecast range,3
Other foods,7,2008,2009,Upper bound of forecast range,4
Other foods,8,2008,2009,Lower bound of forecast range,3
Other foods,8,2008,2009,Upper bound of forecast range,4
Other foods,9,2008,2009,Lower bound of forecast range,3
Other foods,9,2008,2009,Upper bound of forecast range,4
Other foods,10,2008,2009,Lower bound of forecast range,3
Other foods,10,2008,2009,Upper bound of forecast range,4
Other foods,11,2008,2009,Lower bound of forecast range,3
Other foods,11,2008,2009,Upper bound of forecast range,4
Other foods,12,2008,2009,Lower bound of forecast range,3
Other foods,12,2008,2009,Upper bound of forecast range,4
Other foods,1,2009,2009,Lower bound of forecast range,3
Other foods,1,2009,2009,Upper bound of forecast range,4
Other foods,2,2009,2009,Lower bound of forecast range,3
Other foods,2,2009,2009,Upper bound of forecast range,4
Other foods,3,2009,2009,Lower bound of forecast range,3
Other foods,3,2009,2009,Upper bound of forecast range,4
Other foods,4,2009,2009,Lower bound of forecast range,3
Other foods,4,2009,2009,Upper bound of forecast range,4
Other foods,5,2009,2009,Lower bound of forecast range,3
Other foods,5,2009,2009,Upper bound of forecast range,4
Other foods,6,2009,2009,Lower bound of forecast range,3
Other foods,6,2009,2009,Upper bound of forecast range,4
Other foods,7,2009,2009,Lower bound of forecast range,3
Other foods,7,2009,2009,Upper bound of forecast range,4
Other foods,8,2009,2009,Lower bound of forecast range,4
Other foods,8,2009,2009,Upper bound of forecast range,5
Other foods,9,2009,2009,Lower bound of forecast range,4
Other foods,9,2009,2009,Upper bound of forecast range,5
Other foods,10,2009,2009,Lower bound of forecast range,4
Other foods,10,2009,2009,Upper bound of forecast range,5
Other foods,11,2009,2009,Lower bound of forecast range,4
Other foods,11,2009,2009,Upper bound of forecast range,5
Other foods,12,2009,2009,Lower bound of forecast range,4
Other foods,12,2009,2009,Upper bound of forecast range,5
All food,7,2009,2010,Lower bound of forecast range,3
All food,7,2009,2010,Upper bound of forecast range,4
All food,8,2009,2010,Lower bound of forecast range,3
All food,8,2009,2010,Upper bound of forecast range,4
All food,9,2009,2010,Lower bound of forecast range,3
All food,9,2009,2010,Upper bound of forecast range,4
All food,10,2009,2010,Lower bound of forecast range,3
All food,10,2009,2010,Upper bound of forecast range,4
All food,11,2009,2010,Lower bound of forecast range,3
All food,11,2009,2010,Upper bound of forecast range,4
All food,12,2009,2010,Lower bound of forecast range,3
All food,12,2009,2010,Upper bound of forecast range,4
All food,1,2010,2010,Lower bound of forecast range,2.5
All food,1,2010,2010,Upper bound of forecast range,3.5
All food,2,2010,2010,Lower bound of forecast range,2.5
All food,2,2010,2010,Upper bound of forecast range,3.5
All food,3,2010,2010,Lower bound of forecast range,2.5
All food,3,2010,2010,Upper bound of forecast range,3.5
All food,4,2010,2010,Lower bound of forecast range,2.5
All food,4,2010,2010,Upper bound of forecast range,3.5
All food,5,2010,2010,Lower bound of forecast range,2.5
All food,5,2010,2010,Upper bound of forecast range,3.5
All food,6,2010,2010,Lower bound of forecast range,1.5
All food,6,2010,2010,Upper bound of forecast range,2.5
All food,7,2010,2010,Lower bound of forecast range,1.5
All food,7,2010,2010,Upper bound of forecast range,2.5
All food,8,2010,2010,Lower bound of forecast range,0.5
All food,8,2010,2010,Upper bound of forecast range,1.5
All food,9,2010,2010,Lower bound of forecast range,0.5
All food,9,2010,2010,Upper bound of forecast range,1.5
All food,10,2010,2010,Lower bound of forecast range,0.5
All food,10,2010,2010,Upper bound of forecast range,1.5
All food,11,2010,2010,Lower bound of forecast range,0.5
All food,11,2010,2010,Upper bound of forecast range,1.5
All food,12,2010,2010,Lower bound of forecast range,0.5
All food,12,2010,2010,Upper bound of forecast range,1.5
Food away from home,7,2009,2010,Lower bound of forecast range,3.5
Food away from home,7,2009,2010,Upper bound of forecast range,4.5
Food away from home,8,2009,2010,Lower bound of forecast range,3.5
Food away from home,8,2009,2010,Upper bound of forecast range,4.5
Food away from home,9,2009,2010,Lower bound of forecast range,3.5
Food away from home,9,2009,2010,Upper bound of forecast range,4.5
Food away from home,10,2009,2010,Lower bound of forecast range,3.5
Food away from home,10,2009,2010,Upper bound of forecast range,4.5
Food away from home,11,2009,2010,Lower bound of forecast range,3.5
Food away from home,11,2009,2010,Upper bound of forecast range,4.5
Food away from home,12,2009,2010,Lower bound of forecast range,3.5
Food away from home,12,2009,2010,Upper bound of forecast range,4.5
Food away from home,1,2010,2010,Lower bound of forecast range,2.5
Food away from home,1,2010,2010,Upper bound of forecast range,3.5
Food away from home,2,2010,2010,Lower bound of forecast range,2.5
Food away from home,2,2010,2010,Upper bound of forecast range,3.5
Food away from home,3,2010,2010,Lower bound of forecast range,2.5
Food away from home,3,2010,2010,Upper bound of forecast range,3.5
Food away from home,4,2010,2010,Lower bound of forecast range,2.5
Food away from home,4,2010,2010,Upper bound of forecast range,3.5
Food away from home,5,2010,2010,Lower bound of forecast range,2.5
Food away from home,5,2010,2010,Upper bound of forecast range,3.5
Food away from home,6,2010,2010,Lower bound of forecast range,1.5
Food away from home,6,2010,2010,Upper bound of forecast range,2.5
Food away from home,7,2010,2010,Lower bound of forecast range,1.5
Food away from home,7,2010,2010,Upper bound of forecast range,2.5
Food away from home,8,2010,2010,Lower bound of forecast range,1
Food away from home,8,2010,2010,Upper bound of forecast range,2
Food away from home,9,2010,2010,Lower bound of forecast range,1
Food away from home,9,2010,2010,Upper bound of forecast range,2
Food away from home,10,2010,2010,Lower bound of forecast range,1
Food away from home,10,2010,2010,Upper bound of forecast range,2
Food away from home,11,2010,2010,Lower bound of forecast range,1
Food away from home,11,2010,2010,Upper bound of forecast range,2
Food away from home,12,2010,2010,Lower bound of forecast range,1
Food away from home,12,2010,2010,Upper bound of forecast range,2
Food at home,7,2009,2010,Lower bound of forecast range,2.5
Food at home,7,2009,2010,Upper bound of forecast range,3.5
Food at home,8,2009,2010,Lower bound of forecast range,2.5
Food at home,8,2009,2010,Upper bound of forecast range,3.5
Food at home,9,2009,2010,Lower bound of forecast range,2.5
Food at home,9,2009,2010,Upper bound of forecast range,3.5
Food at home,10,2009,2010,Lower bound of forecast range,2.5
Food at home,10,2009,2010,Upper bound of forecast range,3.5
Food at home,11,2009,2010,Lower bound of forecast range,2.5
Food at home,11,2009,2010,Upper bound of forecast range,3.5
Food at home,12,2009,2010,Lower bound of forecast range,2.5
Food at home,12,2009,2010,Upper bound of forecast range,3.5
Food at home,1,2010,2010,Lower bound of forecast range,2.5
Food at home,1,2010,2010,Upper bound of forecast range,3.5
Food at home,2,2010,2010,Lower bound of forecast range,2.5
Food at home,2,2010,2010,Upper bound of forecast range,3.5
Food at home,3,2010,2010,Lower bound of forecast range,2.5
Food at home,3,2010,2010,Upper bound of forecast range,3.5
Food at home,4,2010,2010,Lower bound of forecast range,2.5
Food at home,4,2010,2010,Upper bound of forecast range,3.5
Food at home,5,2010,2010,Lower bound of forecast range,2.5
Food at home,5,2010,2010,Upper bound of forecast range,3.5
Food at home,6,2010,2010,Lower bound of forecast range,1.5
Food at home,6,2010,2010,Upper bound of forecast range,2.5
Food at home,7,2010,2010,Lower bound of forecast range,1.5
Food at home,7,2010,2010,Upper bound of forecast range,2.5
Food at home,8,2010,2010,Lower bound of forecast range,0.5
Food at home,8,2010,2010,Upper bound of forecast range,1.5
Food at home,9,2010,2010,Lower bound of forecast range,0.5
Food at home,9,2010,2010,Upper bound of forecast range,1.5
Food at home,10,2010,2010,Lower bound of forecast range,0.5
Food at home,10,2010,2010,Upper bound of forecast range,1.5
Food at home,11,2010,2010,Lower bound of forecast range,0.5
Food at home,11,2010,2010,Upper bound of forecast range,1.5
Food at home,12,2010,2010,Lower bound of forecast range,0.5
Food at home,12,2010,2010,Upper bound of forecast range,1.5
"Meats, poultry, and fish",7,2009,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",7,2009,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",8,2009,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",8,2009,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",9,2009,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",9,2009,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",10,2009,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",10,2009,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",11,2009,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",11,2009,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",12,2009,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",12,2009,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",1,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",1,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",2,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",2,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",3,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",3,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",4,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",4,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",5,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",5,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",6,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",6,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",7,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",7,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",8,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",8,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",9,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",9,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",10,2010,2010,Lower bound of forecast range,1.5
"Meats, poultry, and fish",10,2010,2010,Upper bound of forecast range,2.5
"Meats, poultry, and fish",11,2010,2010,Lower bound of forecast range,2
"Meats, poultry, and fish",11,2010,2010,Upper bound of forecast range,3
"Meats, poultry, and fish",12,2010,2010,Lower bound of forecast range,2
"Meats, poultry, and fish",12,2010,2010,Upper bound of forecast range,3
Meats,7,2009,2010,Lower bound of forecast range,1
Meats,7,2009,2010,Upper bound of forecast range,2
Meats,8,2009,2010,Lower bound of forecast range,1
Meats,8,2009,2010,Upper bound of forecast range,2
Meats,9,2009,2010,Lower bound of forecast range,1
Meats,9,2009,2010,Upper bound of forecast range,2
Meats,10,2009,2010,Lower bound of forecast range,1
Meats,10,2009,2010,Upper bound of forecast range,2
Meats,11,2009,2010,Lower bound of forecast range,1
Meats,11,2009,2010,Upper bound of forecast range,2
Meats,12,2009,2010,Lower bound of forecast range,1
Meats,12,2009,2010,Upper bound of forecast range,2
Meats,1,2010,2010,Lower bound of forecast range,1
Meats,1,2010,2010,Upper bound of forecast range,2
Meats,2,2010,2010,Lower bound of forecast range,1
Meats,2,2010,2010,Upper bound of forecast range,2
Meats,3,2010,2010,Lower bound of forecast range,1
Meats,3,2010,2010,Upper bound of forecast range,2
Meats,4,2010,2010,Lower bound of forecast range,1
Meats,4,2010,2010,Upper bound of forecast range,2
Meats,5,2010,2010,Lower bound of forecast range,1
Meats,5,2010,2010,Upper bound of forecast range,2
Meats,6,2010,2010,Lower bound of forecast range,1
Meats,6,2010,2010,Upper bound of forecast range,2
Meats,7,2010,2010,Lower bound of forecast range,2
Meats,7,2010,2010,Upper bound of forecast range,3
Meats,8,2010,2010,Lower bound of forecast range,2
Meats,8,2010,2010,Upper bound of forecast range,3
Meats,9,2010,2010,Lower bound of forecast range,2
Meats,9,2010,2010,Upper bound of forecast range,3
Meats,10,2010,2010,Lower bound of forecast range,2
Meats,10,2010,2010,Upper bound of forecast range,3
Meats,11,2010,2010,Lower bound of forecast range,2.5
Meats,11,2010,2010,Upper bound of forecast range,3.5
Meats,12,2010,2010,Lower bound of forecast range,2.5
Meats,12,2010,2010,Upper bound of forecast range,3.5
Beef and veal,7,2009,2010,Lower bound of forecast range,1
Beef and veal,7,2009,2010,Upper bound of forecast range,2
Beef and veal,8,2009,2010,Lower bound of forecast range,1
Beef and veal,8,2009,2010,Upper bound of forecast range,2
Beef and veal,9,2009,2010,Lower bound of forecast range,1
Beef and veal,9,2009,2010,Upper bound of forecast range,2
Beef and veal,10,2009,2010,Lower bound of forecast range,1
Beef and veal,10,2009,2010,Upper bound of forecast range,2
Beef and veal,11,2009,2010,Lower bound of forecast range,1
Beef and veal,11,2009,2010,Upper bound of forecast range,2
Beef and veal,12,2009,2010,Lower bound of forecast range,1
Beef and veal,12,2009,2010,Upper bound of forecast range,2
Beef and veal,1,2010,2010,Lower bound of forecast range,1
Beef and veal,1,2010,2010,Upper bound of forecast range,2
Beef and veal,2,2010,2010,Lower bound of forecast range,1
Beef and veal,2,2010,2010,Upper bound of forecast range,2
Beef and veal,3,2010,2010,Lower bound of forecast range,1
Beef and veal,3,2010,2010,Upper bound of forecast range,2
Beef and veal,4,2010,2010,Lower bound of forecast range,1
Beef and veal,4,2010,2010,Upper bound of forecast range,2
Beef and veal,5,2010,2010,Lower bound of forecast range,1
Beef and veal,5,2010,2010,Upper bound of forecast range,2
Beef and veal,6,2010,2010,Lower bound of forecast range,1
Beef and veal,6,2010,2010,Upper bound of forecast range,2
Beef and veal,7,2010,2010,Lower bound of forecast range,2
Beef and veal,7,2010,2010,Upper bound of forecast range,3
Beef and veal,8,2010,2010,Lower bound of forecast range,2
Beef and veal,8,2010,2010,Upper bound of forecast range,3
Beef and veal,9,2010,2010,Lower bound of forecast range,2
Beef and veal,9,2010,2010,Upper bound of forecast range,3
Beef and veal,10,2010,2010,Lower bound of forecast range,2.5
Beef and veal,10,2010,2010,Upper bound of forecast range,to 3.5
Beef and veal,11,2010,2010,Lower bound of forecast range,2.5
Beef and veal,11,2010,2010,Upper bound of forecast range,to 3.5
Beef and veal,12,2010,2010,Lower bound of forecast range,2.5
Beef and veal,12,2010,2010,Upper bound of forecast range,to 3.5
Pork,7,2009,2010,Lower bound of forecast range,0.5
Pork,7,2009,2010,Upper bound of forecast range,1.5
Pork,8,2009,2010,Lower bound of forecast range,0.5
Pork,8,2009,2010,Upper bound of forecast range,1.5
Pork,9,2009,2010,Lower bound of forecast range,0.5
Pork,9,2009,2010,Upper bound of forecast range,1.5
Pork,10,2009,2010,Lower bound of forecast range,0.5
Pork,10,2009,2010,Upper bound of forecast range,1.5
Pork,11,2009,2010,Lower bound of forecast range,0.5
Pork,11,2009,2010,Upper bound of forecast range,1.5
Pork,12,2009,2010,Lower bound of forecast range,1
Pork,12,2009,2010,Upper bound of forecast range,2
Pork,1,2010,2010,Lower bound of forecast range,1
Pork,1,2010,2010,Upper bound of forecast range,2
Pork,2,2010,2010,Lower bound of forecast range,1
Pork,2,2010,2010,Upper bound of forecast range,2
Pork,3,2010,2010,Lower bound of forecast range,1
Pork,3,2010,2010,Upper bound of forecast range,2
Pork,4,2010,2010,Lower bound of forecast range,1
Pork,4,2010,2010,Upper bound of forecast range,2
Pork,5,2010,2010,Lower bound of forecast range,1
Pork,5,2010,2010,Upper bound of forecast range,2
Pork,6,2010,2010,Lower bound of forecast range,1
Pork,6,2010,2010,Upper bound of forecast range,2
Pork,7,2010,2010,Lower bound of forecast range,2
Pork,7,2010,2010,Upper bound of forecast range,3
Pork,8,2010,2010,Lower bound of forecast range,3
Pork,8,2010,2010,Upper bound of forecast range,4
Pork,9,2010,2010,Lower bound of forecast range,3.5
Pork,9,2010,2010,Upper bound of forecast range,4.5
Pork,10,2010,2010,Lower bound of forecast range,4.5
Pork,10,2010,2010,Upper bound of forecast range,5.5
Pork,11,2010,2010,Lower bound of forecast range,5
Pork,11,2010,2010,Upper bound of forecast range,6
Pork,12,2010,2010,Lower bound of forecast range,5
Pork,12,2010,2010,Upper bound of forecast range,6
Other meats,7,2009,2010,Lower bound of forecast range,3
Other meats,7,2009,2010,Upper bound of forecast range,4
Other meats,8,2009,2010,Lower bound of forecast range,3
Other meats,8,2009,2010,Upper bound of forecast range,4
Other meats,9,2009,2010,Lower bound of forecast range,3
Other meats,9,2009,2010,Upper bound of forecast range,4
Other meats,10,2009,2010,Lower bound of forecast range,3
Other meats,10,2009,2010,Upper bound of forecast range,4
Other meats,11,2009,2010,Lower bound of forecast range,3
Other meats,11,2009,2010,Upper bound of forecast range,4
Other meats,12,2009,2010,Lower bound of forecast range,3
Other meats,12,2009,2010,Upper bound of forecast range,4
Other meats,1,2010,2010,Lower bound of forecast range,2.5
Other meats,1,2010,2010,Upper bound of forecast range,3.5
Other meats,2,2010,2010,Lower bound of forecast range,2.5
Other meats,2,2010,2010,Upper bound of forecast range,3.5
Other meats,3,2010,2010,Lower bound of forecast range,2
Other meats,3,2010,2010,Upper bound of forecast range,3
Other meats,4,2010,2010,Lower bound of forecast range,2
Other meats,4,2010,2010,Upper bound of forecast range,3
Other meats,5,2010,2010,Lower bound of forecast range,2
Other meats,5,2010,2010,Upper bound of forecast range,3
Other meats,6,2010,2010,Lower bound of forecast range,1
Other meats,6,2010,2010,Upper bound of forecast range,2
Other meats,7,2010,2010,Lower bound of forecast range,1
Other meats,7,2010,2010,Upper bound of forecast range,2
Other meats,8,2010,2010,Lower bound of forecast range,0
Other meats,8,2010,2010,Upper bound of forecast range,1
Other meats,9,2010,2010,Lower bound of forecast range,0
Other meats,9,2010,2010,Upper bound of forecast range,1
Other meats,10,2010,2010,Lower bound of forecast range,0
Other meats,10,2010,2010,Upper bound of forecast range,1
Other meats,11,2010,2010,Lower bound of forecast range,0
Other meats,11,2010,2010,Upper bound of forecast range,1
Other meats,12,2010,2010,Lower bound of forecast range,0
Other meats,12,2010,2010,Upper bound of forecast range,1
Poultry,7,2009,2010,Lower bound of forecast range,1
Poultry,7,2009,2010,Upper bound of forecast range,2
Poultry,8,2009,2010,Lower bound of forecast range,1
Poultry,8,2009,2010,Upper bound of forecast range,2
Poultry,9,2009,2010,Lower bound of forecast range,1
Poultry,9,2009,2010,Upper bound of forecast range,2
Poultry,10,2009,2010,Lower bound of forecast range,1
Poultry,10,2009,2010,Upper bound of forecast range,2
Poultry,11,2009,2010,Lower bound of forecast range,1
Poultry,11,2009,2010,Upper bound of forecast range,2
Poultry,12,2009,2010,Lower bound of forecast range,1
Poultry,12,2009,2010,Upper bound of forecast range,2
Poultry,1,2010,2010,Lower bound of forecast range,1
Poultry,1,2010,2010,Upper bound of forecast range,2
Poultry,2,2010,2010,Lower bound of forecast range,1
Poultry,2,2010,2010,Upper bound of forecast range,2
Poultry,3,2010,2010,Lower bound of forecast range,1
Poultry,3,2010,2010,Upper bound of forecast range,2
Poultry,4,2010,2010,Lower bound of forecast range,1
Poultry,4,2010,2010,Upper bound of forecast range,2
Poultry,5,2010,2010,Lower bound of forecast range,1
Poultry,5,2010,2010,Upper bound of forecast range,2
Poultry,6,2010,2010,Lower bound of forecast range,1
